a52dec 0.7.4-11
dosfstools 4.2-2
double-conversion 3.2.1-1
duktape 2.7.0-4
e2fsprogs 1.46.5-4
efibootmgr 18-1
efivar 38-2
ell 0.53-1
enchant 2.3.3-2
evince 43.1-1
exfatprogs 1.2.0-1
exiv2 0.27.5-3
exo 4.16.4-1
expat 2.5.0-1
f2fs-tools 1.15.0-2
faac 1.30-3
faad2 2.10.1-1
fakeroot 1.30.1-1
feh 3.9.1-2
ffmpeg 2:5.1.2-1
ffmpeg4.4 4.4.2-3
ffmpegthumbnailer 2.2.2-4
file 5.43-1
filesystem 2022.10.18-1
findutils 4.9.0-1
firefox 106.0.5-1
flac 1.4.2-1
flex 2.6.4-3
fluidsynth 2.3.0-2
fontconfig 2:2.14.1-2
freeglut 3.4.0-1
freetype2 2.12.1-1
fribidi 1.0.12-1
fuse-common 3.12.0-1
fuse2 2.9.9-4
fuse3 3.12.0-1
gawk 5.2.0-3
gc 8.2.2-1
gcc 12.2.0-1
gcc-libs 12.2.0-1
gcolor2 0.4-9
gcr 3.41.1-3
gcr-4 4.0.0-1
gd 2.3.3-4
gdbm 1.23-1
gdk-pixbuf2 2.42.10-1
gegl 0.4.38-1
gettext 0.21.1-1
ghostscript 10.0.0-2
giflib 5.2.1-2
gimp 2.10.32-2
git 2.38.1-2
glew 2.2.0-5
glib-networking 1:2.74.0-1
glib2 2.74.1-1
glibc 2.36-6
glibmm 2.66.5-1
glslang 11.11.0-1
glu 9.0.2-3
gmp 6.2.1-2
gnome-desktop 1:43-1
gnome-desktop-common 1:43-1
gnome-keyring 1:42.1-2
gnu-free-fonts 20120503-8
gnupg 2.2.40-1
gnutls 3.7.8-1
go 2:1.19.3-1
go-tools 4:0.2.0-1
gobject-introspection-runtime 1.74.0-1
gparted 1.4.0-1
gpgme 1.18.0-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
graphene 1.10.8-1
graphicsmagick 1.3.38-5
graphite 1:1.3.14-2
graphviz 7.0.0-1
grep 3.8-2
groff 1.22.4-7
gsettings-desktop-schemas 43.0-1
gsfonts 20200910-2
gsl 2.7.1-1
gsm 1.0.22-1
gspell 1.12.0-2
gssdp 1.6.0-1
gssproxy 0.9.1-2
gst-libav 1.20.4-3
gst-plugin-pipewire 1:0.3.59-5
gst-plugins-bad 1.20.4-3
gst-plugins-bad-libs 1.20.4-3
gst-plugins-base 1.20.4-3
gst-plugins-base-libs 1.20.4-3
gst-plugins-good 1.20.4-3
gst-plugins-ugly 1.20.4-3
gst-python 1.20.4-3
gstreamer 1.20.4-3
gtk-update-icon-cache 1:4.8.2-1
gtk2 2.24.33-2
gtk3 1:3.24.34+r156+g812b3930d0-1
gtkmm3 3.24.7-1
gts 0.7.6.121130-2
gufw 22.04-1
guile 2.2.7-2
gupnp 1:1.6.0-1
gupnp-igd 1.2.0-3
gvfs 1.50.2-1
gvfs-afc 1.50.2-1
gvfs-gphoto2 1.50.2-1
gvfs-mtp 1.50.2-1
gvfs-smb 1.50.2-1
gvim 9.0.0814-1
gzip 1.12-1
harfbuzz 5.3.1-3
harfbuzz-icu 5.3.1-3
hexchat 2.16.1-3
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
htop 3.2.1-1
httpie 3.2.1-1
hunspell 1.7.1-1
hwdata 0.363-1
hyphen 2.8.8-4
i3-wm 4.21.1-1
i3blocks 1.5-3
i3lock 2.14.1-1
i3status 2.14-1
iana-etc 20221025-1
icu 72.1-1
